Time,X,Y
0.0,775.87244,304.09802
0.03333332347784951,776.32495,308.77814
0.06666664695569902,776.73834,309.64835
0.09999997043354852,775.478,311.9508
0.13333329391139803,775.5875,311.93414
0.19999994086709705,799.439,0.0
0.23333326434494656,964.3187,397.18753
0.29999991130064557,824.07166,8.510954
0.3333332347784951,774.2811,151.21825
0.3666665582563446,743.19556,237.24704
0.3999998817341941,668.75586,362.81772
0.4666665286898931,656.2022,396.179
0.4999998521677426,667.7723,448.27176
0.5333331756455921,688.09674,470.93243
0.5666664991234417,721.77185,509.99524
0.5999998226012911,725.3541,515.874
0.6333331460791407,725.54156,516.126
0.6666664695569902,727.38837,516.5321
0.6999997930348397,749.0817,519.88
0.7333331165126892,776.612,516.3071
0.7666664399905387,865.35645,491.5417
0.7999997634683882,1027.2585,431.4256
0.8333330869462378,1067.0507,414.22504
0.8666664104240872,1094.0142,392.1233
0.8999997339019368,1094.0502,384.45618
0.9333330573797862,1084.806,368.26062
0.9666663808576358,1075.0837,357.5582
0.9999997043354852,1020.1439,312.17587
1.0333330278133348,1004.22327,295.43402
1.1666663217247328,965.5882,312.24838
1.1999996452025823,935.95056,309.06268
1.2333329686804317,869.75665,293.0387
1.2666662921582814,845.48,291.60745
1.2999996156361309,845.2416,291.24582
1.3333329391139803,845.41003,291.27646
1.36666626259183,867.345,314.3145
1.3999995860696794,877.9181,324.48633
1.433332909547529,877.8949,327.96484
1.4666662330253784,878.4582,333.16034
1.499999556503228,868.69025,342.04694
1.5333328799810775,865.20135,347.87604
1.5999995269367764,848.2407,357.17642
1.633332850414626,848.47394,357.29288
1.6666661738924755,846.63043,355.67395
1.699999497370325,845.92163,373.02786
1.7333328208481744,845.634,372.79367
1.766666144326024,845.1122,371.24075
1.7999994678038735,845.65594,371.35455
1.833332791281723,844.74445,370.75214
1.8666661147595724,844.76495,370.79706
1.8999994382374221,841.6201,358.6668
1.9333327617152716,837.95306,350.47107
1.966666085193121,832.98376,348.51865
1.9999994086709705,832.79553,348.31622
2.03333273214882,833.0713,348.50143
2.0666660556266696,835.9041,348.28638
2.0999993791045193,855.3413,352.9027
2.1333327025823685,864.7446,355.80002
2.299999319971616,911.50507,352.30435
2.3333326434494657,941.0887,342.0439
2.3666659669273153,1002.5495,313.1203
2.3999992904051646,1007.17474,305.65787
2.4333326138830143,1008.2448,303.93472
2.4666659373608635,1009.01385,299.6119
2.499999260838713,1009.18823,293.85706
2.533332584316563,1009.1238,293.78564
2.566665907794412,1009.2966,293.82245
2.5999992312722617,1006.5152,299.32196
2.6333325547501114,1003.99567,307.42007
2.6666658782279606,978.9355,334.76248
2.6999992017058103,479.2813,330.72638
2.73333252518366,805.68445,374.5892
2.766665848661509,713.5461,384.37546
2.799999172139359,706.1377,386.42743
2.866665819095058,728.37854,391.42136
2.8999991425729075,800.4983,420.56708
2.9333324660507567,842.08936,441.22485
2.9666657895286064,893.97437,490.5109
2.999999113006456,898.29803,502.01358
3.0333324364843053,907.01056,518.8938
3.066665759962155,916.3406,530.0345
3.099999083440004,956.8583,584.77313
3.133332406917854,962.9542,600.95984
3.1999990538735528,973.83563,639.1917
3.2333323773514024,974.1352,645.178
3.266665700829252,974.64075,649.966
3.2999990243071013,968.40967,654.3286
3.333332347784951,966.1045,655.4775
3.3666656712628003,968.5091,654.44995
3.39999899474065,987.18933,653.67834
3.4333323182184996,1004.1156,651.88916
3.466665641696349,1022.2506,648.76404
3.4999989651741985,1025.633,645.3783
3.533332288652048,1031.3972,622.12256
3.5666656121298974,1051.723,578.25854
3.6333322590855963,1115.2075,560.13043
3.6999989060412957,1018.9323,704.9618
3.733332229519145,959.4223,686.653
3.7666655529969946,818.2586,584.9953
3.7999988764748442,760.8482,393.55353
3.8333321999526935,766.41705,374.68204
3.866665523430543,779.14526,362.54504
3.899998846908393,780.2035,359.9724
3.933332170386242,785.6717,357.5821
3.9666654938640917,845.9079,282.5206
3.999998817341941,882.1161,232.79623
4.033332140819791,888.5453,215.46922
4.06666546429764,889.2605,216.07292
4.0999987877754895,893.41516,215.64308
4.133332111253339,894.0338,216.4736
4.199998758209039,912.2516,252.34657
4.233332081686887,911.088,257.75287
4.266665405164737,908.5232,280.51593
4.299998728642587,908.59973,287.43265
4.333332052120436,907.75946,287.84442
4.366665375598286,908.0625,287.8745
4.4333320225539845,914.94885,309.31708
4.5333319929875335,268.1073,580.2958
4.566665316465383,920.65173,383.414
4.599998639943232,919.51575,387.68436
4.633331963421082,919.6981,387.66882
4.666665286898931,919.7688,388.00168
4.699998610376781,919.60803,387.9469
4.733331933854631,920.02167,387.6552
4.7666652573324795,926.5946,399.3976
4.799998580810329,939.1393,415.34995
