Time,X,Y
0.0,1081.9636,421.50302
0.03333333333333333,1082.0127,421.66672
0.06666666666666667,1079.7512,422.78
0.1,1065.9375,430.50723
0.13333333333333333,1063.9288,427.87326
0.16666666666666666,1063.9788,428.10983
0.2,1063.8127,427.8705
0.23333333333333334,1063.7476,427.6291
0.26666666666666666,1063.7489,427.63687
0.3,1063.7852,427.6549
0.3333333333333333,1064.1793,427.40964
0.36666666666666664,1068.6903,424.97195
0.4,1066.9238,434.39264
0.43333333333333335,1063.0979,440.41544
0.4666666666666667,1063.3457,442.4815
0.5,1062.5347,442.8062
0.5333333333333333,1072.4949,448.0296
0.5666666666666667,1070.9834,449.49054
0.6,1054.2434,449.15396
0.6333333333333333,1044.8633,451.38654
0.6666666666666666,1033.1047,454.75735
0.7,1006.8944,455.37817
0.7333333333333333,982.36414,445.3222
0.7666666666666667,955.8253,444.9407
0.8,945.5746,449.36823
0.8333333333333334,941.2037,451.22763
0.8666666666666667,929.5906,455.80615
0.9,934.7523,457.7893
0.9333333333333333,940.5214,455.3141
0.9666666666666667,944.0128,454.36157
1.0,946.9779,451.74216
1.0333333333333334,972.5638,451.87872
1.0666666666666667,1048.0066,455.0409
1.1,1073.834,451.22177
1.1333333333333333,1073.933,451.18408
1.1666666666666667,1058.781,455.41553
1.2,987.30176,466.22754
1.2333333333333334,853.4857,479.2534
1.2666666666666666,812.15643,489.9699
1.3,817.8285,494.63434
1.3333333333333333,839.7757,500.28003
1.3666666666666667,927.2352,506.9675
1.4,1004.2986,506.21295
1.4333333333333333,1010.2998,505.3374
1.4666666666666666,999.10986,513.57806
1.5,954.04395,526.025
1.5333333333333334,892.1175,529.773
1.5666666666666667,848.93665,527.9536
1.6,847.8789,527.2492
1.6333333333333333,856.1402,527.0835
1.6666666666666667,908.3432,527.67017
1.7,970.11896,526.492
1.7333333333333334,977.08704,524.8828
1.7666666666666666,950.1381,537.1064
1.8,933.0284,555.3756
1.8333333333333333,932.12427,566.90533
1.8666666666666667,934.19806,563.44995
1.9,942.64545,540.4573
1.9333333333333333,942.04193,547.1545
1.9666666666666666,948.8668,562.6124
2.0,948.80884,562.6847
2.033333333333333,948.89014,562.839
2.066666666666667,952.3385,555.9342
2.1,960.82214,547.8486
2.1333333333333333,971.61383,522.8825
2.1666666666666665,950.2201,459.45438
2.2,909.0819,404.45425
2.2333333333333334,900.6852,398.27774
2.2666666666666666,900.9552,397.72064
2.3,908.7951,382.86612
2.3333333333333335,913.0272,362.5686
2.3666666666666667,917.1456,350.18463
2.4,917.6955,349.20502
2.433333333333333,921.1412,355.05066
2.466666666666667,921.8325,354.47742
2.5,930.3485,348.8614
2.533333333333333,937.6763,340.0559
2.566666666666667,937.6796,339.15173
2.6,938.1169,338.89188
2.6333333333333333,937.7787,339.9311
2.6666666666666665,944.20825,333.20428
2.7,946.01733,330.95062
2.7333333333333334,920.77515,294.18805
2.7666666666666666,920.7379,291.68674
2.8,919.3998,284.7019
2.8333333333333335,917.46405,266.57535
2.8666666666666667,908.29944,223.45926
2.933333333333333,912.16003,137.96866
2.966666666666667,913.3482,123.918594
3.0,913.3685,124.06744
3.033333333333333,913.3885,124.122894
3.066666666666667,913.062,123.623245
3.1,912.99536,123.43454
3.1333333333333333,911.9487,123.28717
3.1666666666666665,901.8168,126.53145
3.2,888.1604,131.01059
3.2333333333333334,869.66437,138.74199
3.2666666666666666,838.4297,197.05742
3.3,770.6466,236.74219
3.3333333333333335,755.7768,257.08777
3.3666666666666667,755.67993,268.85715
3.4,752.71045,277.23303
3.433333333333333,748.01227,290.90692
3.466666666666667,749.1747,311.6281
3.5,760.1129,322.9663
3.533333333333333,789.5193,337.0439
3.566666666666667,815.19507,352.04068
3.6,810.7969,362.37018
3.6333333333333333,783.1862,368.5005
3.6666666666666665,763.1295,370.85834
3.7,739.4739,377.59943
3.7333333333333334,734.8408,384.5656
3.7666666666666666,747.77765,392.72113
3.8,770.66034,399.50555
3.8333333333333335,806.32947,403.05588
3.8666666666666667,821.80756,408.0585
3.9,817.2715,407.46497
3.933333333333333,815.8662,408.25507
3.966666666666667,815.8596,408.25058
4.0,815.8883,408.28546
4.033333333333333,822.2092,407.37515
4.066666666666666,830.96796,402.0942
4.1,833.95105,399.15808
4.133333333333334,833.9575,399.16525
4.166666666666667,834.4105,400.44077
4.2,833.2436,402.08014
4.233333333333333,833.1189,402.1247
4.266666666666667,833.12256,402.1203
4.3,833.11414,402.11526
4.333333333333333,833.10223,402.11124
4.366666666666666,833.12476,402.13412
4.4,833.1242,402.1377
4.433333333333334,833.12164,402.12793
4.466666666666667,833.11035,402.1204
4.5,833.1101,402.11707
4.533333333333333,833.10077,402.10638
4.566666666666666,836.9266,401.93912
4.6,863.4734,407.75574
4.633333333333334,896.9231,410.98547
4.666666666666667,913.4368,411.52057
4.7,913.70215,410.9598
4.733333333333333,916.5899,412.3687
4.766666666666667,916.6196,412.3353
4.8,918.8714,412.16684
4.833333333333333,932.70276,409.46173
4.866666666666666,944.9927,407.0959
4.9,945.32007,406.47528
4.933333333333334,945.31775,406.46603
4.966666666666667,945.3291,406.476
5.0,945.3219,406.46603
5.033333333333333,945.3248,406.4708
5.066666666666666,945.3433,406.48938
5.1,944.8918,406.13245
5.133333333333334,944.88684,406.12637
5.166666666666667,944.88745,406.12637
5.2,944.89307,406.1327
5.233333333333333,944.91675,406.15256
5.266666666666667,944.91064,406.1363
5.3,944.9125,406.13956
5.333333333333333,944.91223,406.1363
5.366666666666666,944.9227,406.15375
5.4,944.92255,406.15073
5.433333333333334,944.93024,406.15338
5.466666666666667,945.4832,406.32275
5.5,946.71295,406.56293
5.533333333333333,946.70636,406.56262
5.566666666666666,948.8324,406.48956
5.6,959.28204,407.65833
5.633333333333334,978.0172,407.16147
5.666666666666667,992.1699,407.15973
5.7,992.17145,407.1593
5.733333333333333,992.1742,407.167
5.766666666666667,992.1769,407.16852
5.8,992.1788,407.1741
5.833333333333333,992.17474,407.1677
5.866666666666666,992.1752,407.17648
5.9,992.163,407.16705
5.933333333333334,992.1806,407.1688
5.966666666666667,992.41846,407.28296
6.0,992.4265,407.28772
6.033333333333333,992.44275,407.25806
6.066666666666666,992.4492,407.25815
6.1,992.45874,407.2696
6.133333333333334,992.4582,407.26007
6.166666666666667,992.45825,407.261
6.2,992.4439,407.23938
6.233333333333333,992.44904,407.251
6.266666666666667,992.4406,407.23434
6.3,992.4483,407.25647
6.333333333333333,992.44006,407.24182
6.366666666666666,992.43787,407.2369
6.4,992.44446,407.23926
6.433333333333334,992.4637,407.2585
6.466666666666667,992.4589,407.23178
6.5,992.46387,407.23526
6.533333333333333,992.4707,407.2196
6.566666666666666,992.44226,407.23398
6.6,992.4329,407.23865
6.633333333333334,992.43396,407.2506
6.666666666666667,992.4296,407.236
6.7,992.41626,407.24048
6.733333333333333,992.4216,407.2598
6.766666666666667,992.4243,407.27545
6.8,992.41736,407.26328
6.833333333333333,992.42413,407.25238
6.866666666666666,992.4353,407.26392
6.9,992.44354,407.2825
6.933333333333334,992.43677,407.25504
6.966666666666667,992.4534,407.29916
7.0,992.4362,407.2847
7.033333333333333,992.44684,407.27884
7.066666666666666,992.46405,407.28607
7.1,992.4822,407.2707
7.133333333333334,992.4701,407.2751
7.166666666666667,992.3823,407.2376
7.2,992.4036,407.23462
7.233333333333333,992.43,407.23215
7.266666666666667,992.44556,407.2512
7.3,992.449,407.25372
7.333333333333333,992.4309,407.25
7.366666666666666,992.4278,407.26163
7.4,992.4106,407.24863
7.433333333333334,992.4051,407.24054
7.466666666666667,992.4157,407.23782
7.5,992.4113,407.24826
7.533333333333333,992.4128,407.24918
7.566666666666666,992.41425,407.2442
7.6,992.4159,407.24698
7.633333333333334,992.42114,407.25284
7.666666666666667,992.4276,407.258
7.7,992.42944,407.25665
7.733333333333333,992.4232,407.25165
7.766666666666667,992.42194,407.25134
7.8,985.8334,407.35846
7.833333333333333,981.4565,405.85657
7.866666666666666,980.0272,405.3388
7.9,979.4237,405.43988
7.933333333333334,973.26074,404.39734
7.966666666666667,969.8787,403.9888
8.0,969.8651,403.78485
8.033333333333333,969.8884,403.81778
8.066666666666666,966.2763,404.13043
8.1,960.1159,404.3421
8.133333333333333,957.9787,402.7068
8.166666666666666,957.9893,402.71826
8.2,957.95856,402.69077
8.233333333333333,956.923,402.9788
8.266666666666667,956.95044,402.98877
8.3,956.9478,402.98557
8.333333333333334,956.9535,402.9907
8.366666666666667,956.95386,402.9961
8.4,956.9467,402.98538
8.433333333333334,956.9453,402.98062
8.466666666666667,956.943,402.98355
8.5,956.94855,402.99225
8.533333333333333,956.9138,402.9701
8.566666666666666,956.9125,402.96735
8.6,956.95953,403.00424
8.633333333333333,956.996,403.01294
8.666666666666666,956.9174,402.95197
8.7,956.9456,402.97375
8.733333333333333,956.92944,402.94354
8.766666666666667,956.9471,402.9536
8.8,956.9304,402.8864
8.833333333333334,956.94104,402.92377
8.866666666666667,956.96826,402.96442
8.9,947.1945,401.01978
8.933333333333334,928.7533,400.96957
8.966666666666667,909.25085,401.4049
9.0,906.03735,400.36945
9.033333333333333,906.0681,400.34454
9.066666666666666,906.07434,400.39142
9.1,903.77216,400.3405
9.133333333333333,902.8019,400.91254
9.166666666666666,902.8308,400.9172
9.2,902.7772,400.91895
9.233333333333333,902.7865,400.91995
9.266666666666667,902.7951,400.93488
9.3,902.91284,400.94202
9.333333333333334,902.9324,400.94684
9.366666666666667,902.9486,400.95547
9.4,901.08014,400.99213
9.433333333333334,897.8282,401.92242
9.466666666666667,897.71173,401.90936
9.5,897.71265,401.91016
9.533333333333333,897.71063,401.90845
9.566666666666666,897.69727,401.92126
9.6,897.69965,401.92603
9.633333333333333,897.6963,401.92273
9.666666666666666,897.69324,401.91568
9.7,897.6967,401.92493
9.733333333333333,897.68646,401.92822
9.766666666666667,897.67944,401.9126
9.8,897.67365,401.9232
9.833333333333334,897.67474,401.91028
9.866666666666667,897.69946,401.90268
9.9,897.6894,401.89847
9.933333333333334,897.6913,401.90094
9.966666666666667,897.68115,401.90305
10.0,897.6766,401.9013
10.033333333333333,897.67993,401.90305
10.066666666666666,897.6777,401.89938
10.1,897.6643,401.89288
10.133333333333333,897.685,401.90222
10.166666666666666,897.6857,401.90295
10.2,897.68427,401.9013
10.233333333333333,897.6848,401.90265
10.266666666666667,897.6848,401.89917
10.3,897.6632,401.88986
10.333333333333334,897.6634,401.88968
10.366666666666667,897.6918,401.9091
10.4,897.7044,401.91614
10.433333333333334,897.702,401.91586
10.466666666666667,897.7015,401.91385
10.5,897.72327,401.9252
10.533333333333333,897.72455,401.92615
10.566666666666666,897.7271,401.92996
10.6,897.72327,401.92813
10.633333333333333,897.73267,401.93417
10.666666666666666,897.0276,401.16174
10.7,897.02563,401.159
10.733333333333333,897.0055,401.14975
10.766666666666667,896.9956,401.13785
10.8,884.00116,403.4827
10.833333333333334,798.1086,417.26074
10.866666666666667,630.0576,446.86404
10.9,528.2643,470.47513
10.933333333333334,521.1398,472.2704
10.966666666666667,518.78375,472.24457
11.0,515.65594,466.04187
11.033333333333333,499.5949,433.54037
11.066666666666666,457.21082,400.58295
11.1,431.509,380.5238
11.133333333333333,429.43973,364.71753
11.166666666666666,432.18192,353.6359
11.2,434.22702,351.02112
11.233333333333333,445.176,350.4993
11.266666666666667,464.2719,353.2706
11.3,467.56842,352.39264
